year,month,day,image ID,terminus area (sq km)
1972,7,28,LM10670171972210AAA05,24.95
1972,9,20,LM10670181972264PAC04,23.84
1972,10,8,L1067018_01819721008,23.21
1973,4,5,LM10660181973095PAC04,22.79
1973,5,11,LM10660181973131AAA02,24.93
1973,7,22,LM10660181973203AAA05,24
1973,9,14,LM10660181973257AAA02,24.4
1973,10,21,LM10670181973294AAA05,23.94
1973,11,7,LM10660181973311AAA05,24.65
1973,11,8,LM10670181973312AAA05,23.94
1974,2,24,LM10670181974055AAA05,24.43
1974,3,13,LM10660181974072AAA04,24.51
1974,4,1,LM10670181974091PAC04,24.68
1974,5,25,LM10670181974145AAA02,25.38
1974,9,28,LM10670181974271PAC03,23.75
1975,2,1,LM10670181975032XXX01,24.33
1975,3,8,LM10660181975067PAC01,24.25
1975,4,4,LM20660181975094AAA02,24.57
1975,4,23,LM20670181975113FAK03,24.57
1975,5,1,LM10660181975121FAK03,25.41
1975,6,16,LM20670181975167PAC00,25.44
1975,9,22,LM10660181975265PAC00,23.96
1975,11,6,LM20660181975310PAC00,23.39
1976,3,12,LM20670181976072PAC00,24.49
1976,6,28,LM20670181976180PAC00,26.03
1976,8,3,LM20670181976216PAC00,24.75
1977,4,29,LM20660181977119PAC00,25.05
1977,5,17,LM20660181977137PAC05,24.5
1977,6,14,LM20660181977155FAK03,24.52
1977,7,11,LM20670181977192PAC05,24.52
1977,7,28,LM20660181977209FAK04,24.03
1977,8,21,LM10660181977233FAK04,23.8
1977,9,2,LM20660181977245AAA02,23.52
1977,9,20,LM20660181977263PAC01,23.14
1978,2,11,LM20660181978042FAK03,23.94
1978,3,1,LM20660181978060PAC04,24.08
1978,5,21,LM30660181978141AAA02,25.04
1978,6,9,LM30670181978160AAA02,25.37
1978,8,1,LM30660181978213AAA02,24.37
1978,8,28,LM20660181978240PAC01,24.08
1978,9,17,LM20680181978260PAC02,24.57
1978,9,25,LM30670181978268XXX01,24.53
1978,11,1,LM30680181978305AAA02,23.73
1978,11,18,LM30660181978213AAA02,23.9
1979,2,24,LM20660181979055AAA04,25.03
1979,2,25,LM20670181979056AAA03,25.61
1979,3,6,LM30670181979065AAA03,25.34
1979,3,24,LM30670181979083AAA04,25.55
1979,4,19,LM20660181979109AAA06,25.29
1979,4,28,LM30660181979118AAA03,26.21
1979,8,25,LM20680181979237PAC06,25.32
1980,3,18,LM30670181980078AAA06,26.05
1980,6,6,LM20660181980158AAA03,24.64
1980,6,24,LM20660181980176AAA02,25.34
1980,8,17,LM20660181980230AAA03,24.61
1980,1,27,LM20670181981027AAA03,25.7
1981,4,8,LM20660181981098AAA03,24.95
1981,5,14,LM20660181981134AAA03,25.3
1981,6,19,LM20660181981170PAC00,25.47
1981,10,5,LM20660181981278AAA03,22.27
1982,6,24,LM30670181982175AAA03,25.76
1982,9,24,LM40620181982267PAC00,25.08
1983,2,15,LM40620181983046AAA05,24.79
1983,4,29,LM40610181983119FFF01,25.04
1983,9,11,LM40620181983254AAA03,25.23
1983,11,14,LM40620181983318AAA03,24.39
1984,4,7,LM50610181984098PAC04,26.19
1984,4,23,LM50610181984114AAA03,25.95
1984,5,16,LM50620181984137PAC00,26.14
1984,6,2,LM40610181984154PAC00,26.93
1984,7,28,m5061018_01819840728,26.54
1984,8,21,LM40610181984234PAC00,26.58
1984,9,21,LT50610181984290PAC00,25.61
1984,10,16,LT50610181984290PAC00,24.89
1984,11,1,LT50610181984306PAC00,24.79
1984,11,9,LM40610181984314PAC00,25.09
1984,12,27,LM40610181984362PAC00,25.02
1985,1,20,LT50610181985020PAC00,25.52
1985,3,25,L5061018_01819850325,26.22
1985,4,10,L5061018_01819850410,26.51
1985,5,3,L5062018_01819850503,26.8
1985,6,29,L5061018_01819850629,27.29
1985,7,15,L5061018_01819850715,27.75
1985,8,7,LM50620181985219AAA03,27.39
1985,10,19,L5061018_01819851019,27.05
1985,11,4,L5061018_01819851104,26.73
1985,11,20,LT50610181985324PAC00,26.56
1985,11,28,LM40610181985332PAC00,26.64
